,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,TrackingError,Dislocation,Beta,Volume,Classifications
771,FBTC,0.852394,-1.128601,80.02,2025-11-17,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,22.138,-123.33,0.9292,10049000,4-1
772,FBTC,0.513999,-0.558138,80.9,2025-11-18,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.8423,-59.153,0.9364,8225700,3-1
773,FBTC,0.286699,-2.528286,77.93,2025-11-19,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,18.3004,-280.794,0.951,9523600,3-1
774,FBTC,0.413359,0.288997,75.22,2025-11-20,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.1596,36.15,0.9276,16389200,3-3
775,FBTC,0.411066,-1.057352,73.72,2025-11-21,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.1441,-115.314,0.9343,14913700,3-1
776,FBTC,0.46643,0.780862,77.69,2025-11-24,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.5196,91.485,0.9562,6322100,3-4
777,FBTC,0.511725,-0.382348,76.08,2025-11-25,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.8269,-39.376,0.9586,5576800,3-2
778,FBTC,0.511613,1.218127,78.39,2025-11-26,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,19.8262,140.677,0.9522,6861200,3-4
779,FBTC,0.234161,0.292376,79.08,2025-11-28,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,17.944,36.53,0.9511,4241300,3-3
780,FBTC,0.016113,-0.250164,74.52,2025-12-01,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.4648,-24.506,0.9619,7776800,3-2
781,FBTC,0.053598,-1.130452,79.35,2025-12-02,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.719,-123.538,0.9773,7807700,3-1
782,FBTC,-0.024525,-0.330147,81.05,2025-12-03,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.1891,-33.504,0.9762,5144400,3-2
783,FBTC,-0.021025,0.898504,80.66,2025-12-04,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.2128,104.72,0.9739,3995400,3-4
784,FBTC,-0.018965,0.006068,77.87,2025-12-05,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.2268,4.321,0.9795,5557700,3-3
785,FBTC,-0.066349,1.077686,79.14,2025-12-08,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,15.9053,124.878,0.9773,3899500,2-4
786,FBTC,-0.05748,0.728322,81.18,2025-12-09,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,15.9655,85.574,0.9791,6396800,2-4
787,FBTC,-0.066326,0.948759,80.66,2025-12-10,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,15.9055,110.373,0.9786,4388100,2-4
788,FBTC,0.038296,-1.128751,79.98,2025-12-11,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,16.6152,-123.346,0.9758,4902200,3-1
789,FBTC,-0.093109,0.004669,78.67,2025-12-12,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,15.7238,4.163,0.97,5558100,2-3
790,FBTC,-0.135426,-0.997123,74.74,2025-12-15,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,15.4367,-108.538,0.9762,6990700,2-1
791,FBTC,-0.12008,-0.838261,76.35,2025-12-16,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,15.5408,-90.666,0.9782,5976200,2-1
792,FBTC,-0.124025,-0.962573,74.85,2025-12-17,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,15.5141,-104.651,0.9785,10939600,2-1
793,FBTC,-0.42075,-0.375305,73.75,2025-12-18,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,13.5011,-38.584,0.9773,5767100,2-2
794,FBTC,-0.523508,-0.212726,76.69,2025-12-19,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.804,-20.294,0.9854,5055000,2-2
795,FBTC,-0.532448,0.487982,76.96,2025-12-22,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.7434,58.536,0.9869,6664600,2-3
796,FBTC,-0.768857,0.361407,76.34,2025-12-23,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.1396,44.296,0.9799,3739600,1-3
797,FBTC,-0.834033,-0.145037,76.02,2025-12-24,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.6975,-12.679,0.9788,2132700,1-2
798,FBTC,-0.807173,1.097777,76.28,2025-12-26,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.8797,127.138,0.9918,5827800,1-4
799,FBTC,-0.813245,-0.014626,75.88,2025-12-29,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.8385,1.993,0.9848,3668100,1-2
800,FBTC,-0.866703,-0.444661,76.55,2025-12-30,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.4759,-46.386,0.9808,5982100,1-2
801,FBTC,-0.884213,-0.252126,76.23,2025-12-31,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.3571,-24.726,0.9791,4560000,1-2
802,FBTC,-0.885466,0.193202,78.19,2026-01-02,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.3486,25.373,0.9758,7656200,1-3
803,FBTC,-0.933899,0.165746,82.1,2026-01-05,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,10.02,22.284,0.9841,6948600,1-3
804,FBTC,-0.693952,-1.082187,80.55,2026-01-06,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.6478,-118.108,0.9817,5605400,1-1
805,FBTC,-0.601046,0.364281,79.23,2026-01-07,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.278,44.62,1.0375,4266500,2-3
806,FBTC,-0.609095,-0.010213,79.12,2026-01-08,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.2234,2.489,1.052,4902500,2-2
807,FBTC,-0.609864,0.045011,78.59,2026-01-09,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.2182,8.702,1.0485,4007300,2-3
808,FBTC,-0.736979,-0.010117,79.69,2026-01-12,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,11.3559,2.5,1.0547,3969100,1-2
809,FBTC,-0.631772,0.359465,82.33,2026-01-13,Fidelity Wise Origin Bitcoin Fund,Fidelity,BTC,0.25,12.0696,44.078,1.0363,5602000,2-3
