,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,SpreadBps,Illiquidity,ADV,Volume,Classifications
1589,ARKB,1.210865,1.723229,31.0967,2025-04-23,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,74.164,-3.5195,97.17,4652100,4-4
1590,ARKB,1.209401,1.664682,31.14,2025-04-24,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,72.92,-3.5203,101.62,4129500,4-4
1591,ARKB,1.189393,1.664682,31.73,2025-04-25,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,72.92,-3.5314,104.61,3924600,4-4
1592,ARKB,1.182012,1.316711,31.5167,2025-04-28,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,65.532,-3.5355,105.72,1862700,4-4
1593,ARKB,1.112244,1.316711,31.7,2025-04-29,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,65.532,-3.5741,104.76,1134900,4-4
1594,ARKB,1.080052,1.316711,31.2967,2025-04-30,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,65.532,-3.592,106.12,2201100,4-4
1595,ARKB,1.069671,1.316711,32.1133,2025-05-01,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,65.532,-3.5977,106.03,1873200,4-4
1596,ARKB,1.035022,1.328779,32.26,2025-05-02,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,65.789,-3.6169,105.11,1666500,4-4
1597,ARKB,0.985805,1.328779,31.3667,2025-05-05,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,65.789,-3.6442,104.52,2343300,4-4
1598,ARKB,0.97255,1.575662,31.5767,2025-05-06,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,71.03,-3.6516,101.35,1836000,4-4
1599,ARKB,0.953525,1.575662,31.99,2025-05-07,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,71.03,-3.6621,92.27,2704800,4-4
1600,ARKB,1.022422,0.614953,33.6967,2025-05-08,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,50.633,-3.6239,91.96,2523900,4-4
1601,ARKB,1.017995,0.129176,34.3333,2025-05-09,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,40.319,-3.6264,85.87,1521600,4-3
1602,ARKB,0.959949,-0.313981,33.8633,2025-05-12,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.91,-3.6586,87.42,2963400,4-2
1603,ARKB,0.916572,-0.244623,34.8633,2025-05-13,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,32.383,-3.6826,87.13,2253600,4-2
1604,ARKB,0.927585,-0.044308,34.3367,2025-05-14,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,36.636,-3.6765,86.58,1890300,4-3
1605,ARKB,0.894391,-0.229847,34.3,2025-05-15,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,32.696,-3.6949,87.84,2387400,4-2
1606,ARKB,0.913949,-0.375459,34.61,2025-05-16,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,29.605,-3.684,86.86,1668900,4-2
1607,ARKB,0.929177,-0.647967,35.0967,2025-05-19,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,23.819,-3.6756,87.0,2365500,4-2
1608,ARKB,0.928443,-0.647967,35.63,2025-05-20,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,23.819,-3.676,83.49,2357700,4-2
1609,ARKB,0.897006,-0.647967,36.1467,2025-05-21,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,23.819,-3.6934,82.64,4269600,4-2
1610,ARKB,0.896275,-0.647967,36.9967,2025-05-22,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,23.819,-3.6938,83.42,4353000,4-2
1611,ARKB,0.944162,-0.77202,36.1667,2025-05-23,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,21.185,-3.6673,81.17,2251500,4-1
1612,ARKB,0.937568,-0.695504,36.57,2025-05-27,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.81,-3.671,79.92,2686800,4-1
1613,ARKB,0.983934,-0.725323,35.5667,2025-05-28,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.177,-3.6453,80.54,2016000,4-1
1614,ARKB,0.96884,-0.71174,35.12,2025-05-29,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.465,-3.6536,87.36,5100900,4-1
1615,ARKB,0.959576,-0.71174,34.7767,2025-05-30,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.465,-3.6588,87.65,2154900,4-1
1616,ARKB,0.885803,-0.58164,34.75,2025-06-02,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,25.227,-3.6996,87.35,1549800,4-2
1617,ARKB,0.907465,-0.593708,35.33,2025-06-03,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,24.971,-3.6876,88.68,2316000,4-2
1618,ARKB,0.875501,-0.593708,34.91,2025-06-04,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,24.971,-3.7054,87.9,1633200,4-2
1619,ARKB,0.877389,-0.71848,33.8733,2025-06-05,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.322,-3.7043,96.61,7115100,4-1
1620,ARKB,0.898359,-0.576106,34.67,2025-06-06,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,25.345,-3.6927,96.7,2551200,4-2
1621,ARKB,0.855682,-0.576106,36.1167,2025-06-09,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,25.345,-3.7163,97.71,2937900,3-2
1622,ARKB,0.809656,-0.576106,36.4133,2025-06-10,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,25.345,-3.7418,98.26,1753800,3-2
